============================================================
蛋白质数据富集 (并发版) - 从RCSB PDB获取名称
============================================================

共 39226 条记录，使用10线程并发请求

  进度: 100/39226 (API成功: 98, 失败: 2)
  进度: 200/39226 (API成功: 198, 失败: 2)
  进度: 300/39226 (API成功: 298, 失败: 2)
  进度: 400/39226 (API成功: 398, 失败: 2)
  进度: 500/39226 (API成功: 498, 失败: 2)
  进度: 600/39226 (API成功: 598, 失败: 2)
  进度: 700/39226 (API成功: 698, 失败: 2)
  进度: 800/39226 (API成功: 798, 失败: 2)
  进度: 900/39226 (API成功: 898, 失败: 2)
  进度: 1000/39226 (API成功: 998, 失败: 2)
  进度: 1100/39226 (API成功: 1098, 失败: 2)
  进度: 1200/39226 (API成功: 1198, 失败: 2)
  进度: 1300/39226 (API成功: 1297, 失败: 3)
  进度: 1400/39226 (API成功: 1397, 失败: 3)
  进度: 1500/39226 (API成功: 1497, 失败: 3)
  进度: 1600/39226 (API成功: 1597, 失败: 3)
  进度: 1700/39226 (API成功: 1697, 失败: 3)
  进度: 1800/39226 (API成功: 1797, 失败: 3)
  进度: 1900/39226 (API成功: 1897, 失败: 3)
  进度: 2000/39226 (API成功: 1997, 失败: 3)
  进度: 2100/39226 (API成功: 2097, 失败: 3)
  进度: 2200/39226 (API成功: 2197, 失败: 3)
  进度: 2300/39226 (API成功: 2297, 失败: 3)
  进度: 2400/39226 (API成功: 2397, 失败: 3)
  进度: 2500/39226 (API成功: 2497, 失败: 3)
  进度: 2600/39226 (API成功: 2597, 失败: 3)
  进度: 2700/39226 (API成功: 2697, 失败: 3)
  进度: 2800/39226 (API成功: 2796, 失败: 4)
  进度: 2900/39226 (API成功: 2819, 失败: 81)
  进度: 3000/39226 (API成功: 2820, 失败: 180)
  进度: 3100/39226 (API成功: 2821, 失败: 279)
  进度: 3200/39226 (API成功: 2821, 失败: 379)
  进度: 3300/39226 (API成功: 2821, 失败: 479)
  进度: 3400/39226 (API成功: 2821, 失败: 579)
  进度: 3500/39226 (API成功: 2821, 失败: 679)
  进度: 3600/39226 (API成功: 2821, 失败: 779)
  进度: 3700/39226 (API成功: 2822, 失败: 878)
  进度: 3800/39226 (API成功: 2824, 失败: 976)
  进度: 3900/39226 (API成功: 2825, 失败: 1075)
  进度: 4000/39226 (API成功: 2829, 失败: 1171)
  进度: 4100/39226 (API成功: 2829, 失败: 1271)
  进度: 4200/39226 (API成功: 2830, 失败: 1370)
  进度: 4300/39226 (API成功: 2830, 失败: 1470)
  进度: 4400/39226 (API成功: 2834, 失败: 1566)
  进度: 4500/39226 (API成功: 2838, 失败: 1662)
  进度: 4600/39226 (API成功: 2838, 失败: 1762)
  进度: 4700/39226 (API成功: 2838, 失败: 1862)
  进度: 4800/39226 (API成功: 2839, 失败: 1961)
  进度: 4900/39226 (API成功: 2842, 失败: 2058)
